candidate_id,family,chemistry_class,source,closed_graph_delta_g_kcal_per_mol,panel_relative_ddg_kcal_per_mol,pbcnet_relative_ddg_kcal_per_mol,panel_id,pbcnet_rank,panel_local_score_rank,rbfe_edge_present,rbfe_edge_count,solvent_or_water_probe,closed_graph_loop_ids,runtime_ligand_path,ligand_path,admet_gate_state,admet_property_role,admet_risk_norm,solubility_status,permeability_status,toxicity_status,admet_property_packet_schema,admet_property_packet_proof_path
JTY023_4Me_pyridyl_tail,JTY023,tail,pbcnet_runtime_ligand_scan,1.5579952059404405,,,,,,,,,['jty_4cl_pyridyl_cycle1_closed_graph_cpu_from_gpu_dock_20260421T221258Z'],/usr/local/jldos/evidence/pbcnet/jty_4cl_pyridyl_cycle1_closed_graph_cpu_from_gpu_dock_20260421T221258Z/runtime/ligands/JTY023_4Me_pyridyl_tail.sdf,,,,,,,,,
JTY023_4OCF3_pyridyl_tail,JTY023,tail,pbcnet_runtime_ligand_scan,0.5935679368931543,,,,,,,,,"['jty_4br_pyridyl_cycle2_closed_graph_20260421T221809Z', 'seed_1', 'seed_2', 'seed_3']",/usr/local/jldos/evidence/pbcnet/jty_4br_direct_descendants_seed_conditioned_20260422T002942Z/seed_1/runtime/ligands/JTY023_4OCF3_pyridyl_tail.sdf,,,,,,,,,
JTY023_5Br_pyrimidyl_tail,JTY023,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_5f_pyrimidyl_halogen_wave_20260421T1635Z/runtime/ligands/JTY023_5Br_pyrimidyl_tail.sdf,,,,,,,,,
JTY023_5CF3_pyrimidyl_tail,JTY023,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_5f_pyrimidyl_wave2_20260421T1636Z/runtime/ligands/JTY023_5CF3_pyrimidyl_tail.sdf,,,,,,,,,
JTY023_5CN_pyrimidyl_tail,JTY023,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_5f_pyrimidyl_wave2_20260421T1636Z/runtime/ligands/JTY023_5CN_pyrimidyl_tail.sdf,,,,,,,,,
JTY023_5Cl_pyrimidyl_tail,JTY023,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_5f_pyrimidyl_halogen_wave_20260421T1635Z/runtime/ligands/JTY023_5Cl_pyrimidyl_tail.sdf,,,,,,,,,
JTY023_5Et_pyrimidyl_tail,JTY023,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_5f_pyrimidyl_wave3_20260421T1638Z/runtime/ligands/JTY023_5Et_pyrimidyl_tail.sdf,,,,,,,,,
JTY023_5F_pyrimidyl_tail,JTY023,tail,pbcnet_runtime_ligand_scan,0.3062396714551621,,,,,,,,,"['jty_top10_posebacked_closed_graph_20260421T204322Z', 'jty_top10_posebacked_closed_graph_full_20260421T212119Z']",/usr/local/jldos/evidence/pbcnet/jty_5f_pyrimidyl_halogen_wave_20260421T1635Z/runtime/ligands/JTY023_5F_pyrimidyl_tail.sdf,,,,,,,,,
JTY023_5I_pyrimidyl_tail,JTY023,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_5f_pyrimidyl_halogen_wave_20260421T1635Z/runtime/ligands/JTY023_5I_pyrimidyl_tail.sdf,,,,,,,,,
JTY023_5Me_pyrimidyl_tail,JTY023,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_5f_pyrimidyl_wave3_20260421T1638Z/runtime/ligands/JTY023_5Me_pyrimidyl_tail.sdf,,,,,,,,,
